Date,HomeTeam,AwayTeam,FTHG,FTAG
2024-09-01,Norrkoping,Hacken,3,3
2024-09-14,Vasteras SK,GAIS,2,3
2024-09-15,AIK,Malmo FF,0,0
2024-09-15,Djurgarden,Mjallby,1,1
2024-09-15,Sirius,Brommapojkarna,3,2
2024-09-15,Hacken,Goteborg,3,3
2024-09-15,Halmstad,Elfsborg,0,1
2024-09-15,Kalmar,Varnamo,3,1
2024-09-16,Hammarby,Norrkoping,1,1
2024-09-18,GAIS,Malmo FF,0,0
2024-09-19,Elfsborg,Norrkoping,2,2
2024-09-19,Hacken,Djurgarden,1,2
2024-09-21,Kalmar,AIK,0,1
2024-09-21,Brommapojkarna,Mjallby,0,0
2024-09-22,Elfsborg,Hammarby,0,0
2024-09-22,GAIS,Djurgarden,3,0
2024-09-22,Varnamo,Vasteras SK,2,0
2024-09-22,Malmo FF,Hacken,4,0
2024-09-23,Goteborg,Halmstad,1,1
2024-09-25,Djurgarden,Brommapojkarna,2,1
2024-09-25,Mjallby,Varnamo,1,1
2024-09-25,Sirius,AIK,0,1
2024-09-26,Halmstad,Kalmar,2,2
2024-09-26,Hammarby,Hacken,2,0
2024-09-26,Vasteras SK,Goteborg,1,1
2024-09-29,AIK,Hammarby,1,0
2024-09-29,Halmstad,Norrkoping,0,0
2024-09-29,Varnamo,Djurgarden,1,1
2024-09-29,Hacken,Sirius,2,0
2024-09-29,Kalmar,Elfsborg,1,3
2024-09-29,Malmo FF,Mjallby,2,0
2024-09-30,Brommapojkarna,Vasteras SK,2,1
2024-09-30,Goteborg,GAIS,2,0
2024-10-03,Norrkoping,Sirius,0,2
2024-10-05,Hammarby,Halmstad,1,0
2024-10-05,Mjallby,Vasteras SK,2,1
2024-10-05,Brommapojkarna,GAIS,2,0
2024-10-06,AIK,Hacken,0,2
2024-10-06,Djurgarden,Kalmar,1,1
2024-10-06,Malmo FF,Varnamo,1,1
2024-10-06,Norrkoping,Goteborg,0,2
2024-10-06,Sirius,Elfsborg,4,1
2024-10-19,Elfsborg,Hacken,1,3
2024-10-19,Vasteras SK,Malmo FF,1,1
2024-10-19,Halmstad,Sirius,3,1
2024-10-20,Kalmar,Mjallby,0,3
2024-10-20,GAIS,Varnamo,0,0
2024-10-21,Hammarby,Djurgarden,2,0
2024-10-21,Norrkoping,Brommapojkarna,1,1
2024-10-21,Goteborg,AIK,1,2
2024-10-26,Mjallby,GAIS,1,1
2024-10-26,Sirius,Hammarby,0,3
2024-10-26,Brommapojkarna,Kalmar,1,2
2024-10-27,AIK,Elfsborg,2,1
2024-10-27,Varnamo,Norrkoping,1,2
2024-10-27,Hacken,Halmstad,0,1
2024-10-28,Djurgarden,Vasteras SK,2,1
2024-10-28,Malmo FF,Goteborg,2,1
2024-11-02,Elfsborg,Vasteras SK,1,0
2024-11-02,Hammarby,Malmo FF,2,2
2024-11-02,Goteborg,Kalmar,1,1
2024-11-03,Brommapojkarna,Varnamo,0,1
2024-11-03,Hacken,GAIS,1,2
2024-11-03,Halmstad,Djurgarden,1,0
2024-11-03,Sirius,Mjallby,1,1
2024-11-04,Norrkoping,AIK,1,0
2024-11-10,AIK,Halmstad,5,1
2024-11-10,Djurgarden,Norrkoping,3,1
2024-11-10,GAIS,Sirius,2,1
2024-11-10,Kalmar,Hacken,1,0
2024-11-10,Malmo FF,Brommapojkarna,2,1
2024-11-10,Mjallby,Goteborg,1,0
2024-11-10,Varnamo,Elfsborg,0,0
2024-11-10,Vasteras SK,Hammarby,1,0
2024-11-21,Landskrona,Varnamo,2,2
